Date,Location,Operator,Type,Aboard,Fatalities,Ground,Operator_Category,Month,Year
2006-01-19,"Near Telkibanya, Hungary",Military - Slovak Air Force,Antonov AN-24V,43.0,42.0,0.0,military,1,2006
2006-01-21,"Near Port Alberni, British Columbia, Canada",SoniBlue Airways,Cessna 208B Grand Caravan,8.0,3.0,0.0,commercial,1,2006
2006-02-08,"Near Paris, Tennessee",TriCoastal Air,Swearingen SA.226TC Metro II,1.0,1.0,0.0,commercial,2,2006
2006-03-07,"Labiano, Spain",Aerovalles,Cessna 421C Golden Eagle III,6.0,6.0,0.0,other,3,2006
2006-03-09,"Near La Paz, Bolivia",Military - Fuerza Aérea Argentina,Learjet 35A,6.0,6.0,0.0,military,3,2006
2006-03-18,"Butte, Montana",Ameriflight,Beechcraft C99,2.0,2.0,0.0,other,3,2006
2006-03-24,"Cuenca, Ecuador",ATESA,Cessna 208B Grand Caravan,14.0,5.0,0.0,other,3,2006
2006-03-31,"Rio Bonito, Brazil",Team Air,Let L410UVP-E20,19.0,19.0,0.0,commercial,3,2006
2006-04-10,"Marsabit, Kenya",Military - Kenya Air Force,Harbin Yunshuji Y-12-II,17.0,14.0,0.0,military,4,2006
2006-04-23,"Kousséri, Cameroon",Military - Lybian Arab Air Force,Antonov 74TK-200,6.0,6.0,0.0,military,4,2006
2006-04-24,"Lashkar Gah, Afghanistan",U.S. Government (leased),Antonov AN-32B,16.0,2.0,3.0,other,4,2006
2006-04-28,"Peak Margarita, Uganda",King Air Charter,Cessna 208B Grand Caravan,3.0,3.0,0.0,commercial,4,2006
2006-05-03,"Off Sochi, Russia",Armavia,Airbus A320-211,113.0,113.0,0.0,other,5,2006
2006-05-14,"La Ronge, Saskatchewan",Saskatchewan Government Northern Air Operations,Convair CV-580,3.0,1.0,0.0,commercial,5,2006
2006-06-02,"Groton, Connecticut",International Jet Charter,Learjet 35A,5.0,2.0,0.0,other,6,2006
